doi,year,title,venue,reason,basis,notes
10.5589/m04-045,2004,Comparison of forest attributes extracted from fine spatial resolution multispectral and lidar data,Canadian Journal of Remote Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/01431160110092984,2002,Mapping tropical coastal vegetation using JERS-1 and ERS-1 radar data with a decision tree classifier,International Journal of Remote Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/36.655335,1998,Ku- and C-band SAR for discriminating agricultural crop and soil conditions,IEEE Transactions on Geoscience and Remote Sensing,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/014311698215342,1998,Wetland classification using optical and radar data and neural network classification,International Journal of Remote Sensing,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.2747/1548-1603.45.2.209,2008,Object-Based Land Cover Classification Using High-Posting-Density LiDAR Data,GIScience &amp; Remote Sensing,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/01431160110093000,2002,Application of multiscale texture in classifying JERS-1 radar data over tropical vegetation,International Journal of Remote Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.ecss.2011.10.004,2012,Combining angular response classification and backscatter imagery segmentation for benthic biological habitat mapping,"Estuarine, Coastal and Shelf Science",not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,1990,Synergism of synthetic aperture radar and visible/infrared data for forest type discrimination.,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/19479832.2015.1055833,2015,Land-cover classification using both hyperspectral and LiDAR data,International Journal of Image and Data Fusion,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.rse.2009.11.007,2010,Reliability of LiDAR derived predictors of forest inventory attributes: A case study with Norway spruce,Remote Sensing of Environment,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.rse.2007.02.002,2007,Integrating profiling LIDAR with Landsat data for regional boreal forest canopy attribute estimation and change characterization,Remote Sensing of Environment,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/s0034-4257(96)00154-x,1997,"An evaluation of AIRSAR and SIR-C/X-SAR images for mapping northern forest attributes in Maine, USA",Remote Sensing of Environment,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/tgrs.2005.846868,2005,Integration of optical and radar classifications for mapping pasture type in Western Australia,IEEE Transactions on Geoscience and Remote Sensing,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.2307/2389988,1995,Costs and benefits of foraging on grasses varying in canopy structure and resistance to defoliation,Functional Ecology,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.patrec.2013.08.004,2013,Single tree species classification from Terrestrial Laser Scanning data for forest inventory,Pattern Recognition Letters,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/icip.2009.5413385,2009,Classifying urban landscape in aerial LiDAR using 3D shape analysis,International Conference on Information Photonics,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.agrformet.2015.10.008,2016,Tree species classification based on explicit tree structure feature parameters derived from static terrestrial laser scanning data,Agricultural and Forest Meteorology,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.jag.2016.01.007,2016,Tree species classification in subtropical forests using small-footprint full-waveform LiDAR data,International Journal of Applied Earth Observation and Geoinformation,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1007/s11355-011-0158-z,2012,Object-based classification of land cover and tree species by integrating airborne LiDAR and high spatial resolution imagery data,Landscape and Ecological Engineering,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/07038992.2014.958420,2014,A Comparison of Point Clouds Derived from Stereo Imagery and Airborne Laser Scanning for the Area-Based Estimation of Forest Inventory Attributes in Boreal Ontario,Canadian Journal of Remote Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1007/s10342-010-0384-1,2010,Comparison of nearest neighbour approaches for small area estimation of tree species-specific forest inventory attributes in central Europe using airborne laser scanner data,European Journal of Forest Research,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.rse.2015.03.013,2015,Individual snag detection using neighborhood attribute filtered airborne lidar data,Remote Sensing of Environment,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/jstars.2014.2331276,2014,Delineation of Tree Crowns and Tree Species Classification From Full-Waveform Airborne Laser Scanning Data Using 3-D Ellipsoidal Clustering,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2006,ANALYSIS OF FULL WAVEFORM LIDAR DATA FOR TREE SPECIES CLASSIFICATION,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1117/1.3229944,2009,"Landcover classification of small-footprint, full-waveform lidar data",Journal of Applied Remote Sensing,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.isprsjprs.2015.03.003,2015,Comparative classification analysis of post-harvest growth detection from terrestrial LiDAR point clouds in precision agriculture,ISPRS Journal of Photogrammetry and Remote Sensing,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.fecs.2022.100059,2022,Allometry-based estimation of forest aboveground biomass combining LiDAR canopy height attributes and optical spectral indexes,Forest Ecosystems,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2004,LIDAR DATA SEGMENTATION AND CLASSIFICATION BASED ON OCTREE STRUCTURE,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.foreco.2009.09.006,2009,Multiple attribute decision making for individual tree detection using high-resolution laser scanning,Forest Ecology and Management,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1139/cjfr-2014-0405,2015,Temporal transferability of LiDAR-based imputation of forest inventory attributes,Canadian Journal of Forest Research,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.rse.2014.12.012,2015,Tandem-X interferometry in the prediction of forest inventory attributes in managed boreal forests,Remote Sensing of Environment,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1139/cjfr-2015-0192,2015,Evaluating the impact of leaf-on and leaf-off airborne laser scanning data on the estimation of forest inventory attributes with the area-based approach,Canadian Journal of Forest Research,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.rse.2011.07.016,2011,Classifying individual tree genera using stepwise cluster analysis based on height and intensity metrics derived from airborne laser scanner data,Remote Sensing of Environment,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1002/hyp.7155,2009,"Comparing alpine watershed attributes from LiDAR, Photogrammetric, and Contour‐based Digital Elevation Models",Hydrological Processes,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
,2010,3D CLASSIFICATION OF POWER-LINE SCENE FROM AIRBORNE LASER SCANNING DATA USING RANDOM FORESTS,,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.geoderma.2014.03.021,2014,Scale-dependency of LiDAR derived terrain attributes in quantitative soil-landscape modeling: Effects of grid resolution vs. neighborhood extent,Geoderma,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1175/ei117.1,2005,Synthetic Aperture Radar (L band) and Optical Vegetation Indices for Discriminating the Brazilian Savanna Physiognomies: A Comparative Analysis,Earth Interactions,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.rse.2015.04.011,2015,A LiDAR-based decision-tree classification of open water surfaces in an Arctic delta,Remote Sensing of Environment,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/igarss.2014.6946721,2014,The use of satellite SAR imagery to crop classification in Ukraine within JECAM project,2014 IEEE Geoscience and Remote Sensing Symposium,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1049/iet-rsn.2016.0346,2017,Effective supervised multiple-feature learning for fused radar and optical data classification,"IET Radar, Sonar &amp; Navigation",no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.jag.2021.102658,2022,Integrating terrestrial laser scanning and unmanned aerial vehicle photogrammetry to estimate individual tree attributes in managed coniferous forests in Japan,International Journal of Applied Earth Observation and Geoinformation,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.2747/1548-1603.43.4.283,2006,Multiple Baseline Radar Interferometry Applied to Coastal Land Cover Classification and Change Analyses,GIScience &amp; Remote Sensing,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.5589/m03-072,2004,Forest type discrimination using calibrated C-band polarimetric SAR data,Canadian Journal of Remote Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.5589/m03-029,2003,"Vegetation classification of the riparian zone along the Brisbane River, Queensland, Australia, using light detection and ranging (lidar) data and forward looking digital video",Canadian Journal of Remote Sensing,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1139/x11-033,2011,A comparison of small-area estimation techniques to estimate selected stand attributes using LiDAR-derived auxiliary variables,Canadian Journal of Forest Research,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.jag.2023.103208,2023,Point cloud voxel classification of aerial urban LiDAR using voxel attributes and random forest approach,International Journal of Applied Earth Observation and Geoinformation,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.jag.2016.03.015,2016,"Combining QuickBird, LiDAR, and GIS topography indices to identify a single native tree species in a complex landscape using an object-based classification approach",International Journal of Applied Earth Observation and Geoinformation,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.isprsjprs.2022.07.021,2022,Comparing tree attributes derived from quantitative structure models based on drone and mobile laser scanning point clouds across varying canopy cover conditions,Isprs Journal of Photogrammetry and Remote Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/01431161.2017.1292072,2017,Comparing six pixel-wise classifiers for tropical rural land cover mapping using four forms of fully polarimetric SAR data,International Journal of Remote Sensing,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1109/jstars.2016.2628775,2017,A Bayesian-Network-Based Classification Method Integrating Airborne LiDAR Data With Optical Images,IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/07038992.2016.1196583,2016,"A Physically Based Terrain Morphology and Vegetation Structural Classification for Wetlands of the Boreal Plains, Alberta, Canada",Canadian Journal of Remote Sensing,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.rse.2023.113533,2023,Distinguishing forest types in restored tropical landscapes with UAV-borne LIDAR,Remote Sensing of Environment,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1016/j.fishres.2013.08.006,2014,Analysis of backscatter properties and application of classification procedures for the identification of small pelagic fish species in the Central Mediterranean,Fisheries Research,off-topic,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1139/x2012-134,2012,Predicting and calibrating tree attributes by means of airborne laser scanning and field measurements,Canadian Journal of Forest Research,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1017/s1742758400020695,1991,"Cowpea Plant Architecture in Relation to Infestation and Damage by the Legume Pod Borer, maruca Testulalis Geyer (Lepidoptera: Pyralidae)—I. Effect of Canopy Structure and Pod Position",,not-forest,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1117/12.397780,2000,Assessment of forest attributes and single-tree segmentation by means of laser scanning,"Defense, Security, and Sensing",no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
10.1080/02827581.2011.624116,2012,A fine-scale model for area-based predictions of tree-size-related attributes derived from LiDAR canopy heights,,no-question,title only; no abstract returned by Crossref or Semantic Scholar,"Mechanical exclusion on title vocabulary. Subject is forest inventory, species or land-cover classification with no disturbance agent, or a non-forest subject."
