"maptile","year","density","projection","filename","bytes","density_actual"
"092e059_3_2_2",2019,8,"utm10","bc_092e059_3_2_2_xyes_8_utm10_2019.laz",577569766,39
"092e059_3_2_4",2019,8,"utm10","bc_092e059_3_2_4_xyes_8_utm10_2019.laz",66056924,11.8
"092c076_2_3_4",2019,8,"utm10","bc_092c076_2_3_4_xyes_8_utm10_2019.laz",747045985,51
"092c076_2_4_3",2019,8,"utm10","bc_092c076_2_4_3_xyes_8_utm10_2019.laz",640589199,43.7
"092c076_4_2_2",2019,8,"utm10","bc_092c076_4_2_2_xyes_8_utm10_2019.laz",497228745,34.2
"092c076_4_2_4",2019,8,"utm10","bc_092c076_4_2_4_xyes_8_utm10_2019.laz",375114600,27.9
"092c077_3_3_4",2019,8,"utm10","bc_092c077_3_3_4_xyes_8_utm10_2019.laz",22626277,3.8
"092l036_1_1_3",2019,8,"utm10","bc_092l036_1_1_3_xyes_8_utm10_2019.laz",201482833,40.5
"092k011_4_2_4",2025,8,"utm10","bc_092k011_4_2_4_xyes_8_utm10_20251015_20251015.laz",1252709480,69.9
"092k011_4_4_2",2025,8,"utm10","bc_092k011_4_4_2_xyes_8_utm10_20251015_20251015.laz",1268806525,70.6
"092k021_2_1_4",2019,8,"utm10","bc_092k021_2_1_4_xyes_8_utm10_2019.laz",24298905,13
"092k021_2_2_3",2019,8,"utm10","bc_092k021_2_2_3_xyes_8_utm10_2019.laz",196858420,15.3
"092k021_2_3_2",2019,8,"utm10","bc_092k021_2_3_2_xyes_8_utm10_2019.laz",43114895,17.3
"092k021_2_3_4",2019,8,"utm10","bc_092k021_2_3_4_xyes_8_utm10_2019.laz",317502212,24
"092k021_2_4_1",2019,8,"utm10","bc_092k021_2_4_1_xyes_8_utm10_2019.laz",356979321,26.6
"092k021_1_4_1",2019,8,"utm10","bc_092k021_1_4_1_xyes_8_utm10_2019.laz",3810510,2
"092k021_1_4_4",2019,8,"utm10","bc_092k021_1_4_4_xyes_8_utm10_2019.laz",71426347,9.3
"092k021_1_3_4",2019,8,"utm10","bc_092k021_1_3_4_xyes_8_utm10_2019.laz",111601744,8.4
"092l052_3_2_4",2019,8,"utm10","bc_092l052_3_2_4_xyes_8_utm10_2019.laz",439141903,31.2
"092l052_3_4_2",2019,8,"utm10","bc_092l052_3_4_2_xyes_8_utm10_2019.laz",478593038,34.3
"092l052_3_2_3",2019,8,"utm10","bc_092l052_3_2_3_xyes_8_utm10_2019.laz",205267361,17
"092l052_3_4_1",2019,8,"utm10","bc_092l052_3_4_1_xyes_8_utm10_2019.laz",400780305,28
"092l052_3_4_3",2019,8,"utm10","bc_092l052_3_4_3_xyes_8_utm10_2019.laz",75968857,6.3
"092l042_1_2_3",2019,8,"utm10","bc_092l042_1_2_3_xyes_8_utm10_2019.laz",177541173,21.4
"092l042_1_3_1",2019,8,"utm10","bc_092l042_1_3_1_xyes_8_utm10_2019.laz",403938822,27.8
"092l041_2_3_4",2019,8,"utm10","bc_092l041_2_3_4_xyes_8_utm10_2019.laz",951889827,66.7
"092l041_2_4_3",2019,8,"utm10","bc_092l041_2_4_3_xyes_8_utm10_2019.laz",704549888,52.4
"092l062_2_2_1",2019,8,"utm10","bc_092l062_2_2_1_xyes_8_utm10_2019.laz",469277349,31.1
"092l062_2_2_3",2019,8,"utm10","bc_092l062_2_2_3_xyes_8_utm10_2019.laz",188770316,17.9
"092c087_2_2_2",2019,8,"utm10","bc_092c087_2_2_2_xyes_8_utm10_2019.laz",304761086,22.5
"092k002_3_4_2",2025,8,"utm10","bc_092k002_3_4_2_xyes_8_utm10_20251015_20251015.laz",1278242130,71.1
"092k002_3_2_4",2025,8,"utm10","bc_092k002_3_2_4_xyes_8_utm10_20251015_20251015.laz",1290509624,72
"092k012_2_3_1",2024,8,"utm10","bc_092k012_2_3_1_xyes_8_utm10_20240414_20240414.laz",956698252,57
"092k012_1_3_3",2025,8,"utm10","bc_092k012_1_3_3_xyes_8_utm10_20251015_20251015.laz",1171921934,65.6
"092k012_1_3_4",2024,8,"utm10","bc_092k012_1_3_4_xyes_8_utm10_20240414_20251015.laz",974750934,56
"092k012_3_1_2",2024,8,"utm10","bc_092k012_3_1_2_xyes_8_utm10_20240414_20251015.laz",842219637,48.7
"092f042_3_3_3",2019,8,"utm10","bc_092f042_3_3_3_xyes_8_utm10_2019.laz",6520170,2
"092f052_1_1_1",2019,8,"utm10","bc_092f052_1_1_1_xyes_8_utm10_2019.laz",168505,1.4
"092l051_4_1_1",2019,8,"utm10","bc_092l051_4_1_1_xyes_8_utm10_2019.laz",3293775,8.1
"092l072_3_3_4",2023,8,"utm9","bc_092l072_3_3_4_xyes_8_utm9_20231031_20231031.laz",856145453,53.6
"092l072_3_4_1",2023,8,"utm9","bc_092l072_3_4_1_xyes_8_utm9_20231031_20231031.laz",862958113,54.1
"092l072_3_3_3",2023,8,"utm9","bc_092l072_3_3_3_xyes_8_utm9_20231031_20231031.laz",806179636,50.1
"092l072_3_3_2",2023,8,"utm9","bc_092l072_3_3_2_xyes_8_utm9_20231031_20231031.laz",813729478,51.7
"092l041_2_3_1",2019,8,"utm10","bc_092l041_2_3_1_xyes_8_utm10_2019.laz",298580168,21.9
"092l041_4_1_2",2019,8,"utm10","bc_092l041_4_1_2_xyes_8_utm10_2019.laz",575291304,39.8
"092l057_1_2_1",2019,8,"utm10","bc_092l057_1_2_1_xyes_8_utm10_2019.laz",272577830,20.8
"092l057_1_2_3",2019,8,"utm10","bc_092l057_1_2_3_xyes_8_utm10_2019.laz",741504032,51.5
"092l057_1_1_4",2019,8,"utm10","bc_092l057_1_1_4_xyes_8_utm10_2019.laz",729504869,51.9
"092l051_2_3_2",2019,8,"utm10","bc_092l051_2_3_2_xyes_8_utm10_2019.laz",140753072,20.5
"092l052_1_3_4",2023,8,"utm9","bc_092l052_1_3_4_xyes_8_utm9_20231028_20231030.laz",835277871,52.6
"092l052_3_1_2",2023,8,"utm9","bc_092l052_3_1_2_xyes_8_utm9_20231027_20231030.laz",968822677,60
"092l052_3_2_2",2019,8,"utm10","bc_092l052_3_2_2_xyes_8_utm10_2019.laz",8190454,5
"092l051_4_2_1",2019,8,"utm10","bc_092l051_4_2_1_xyes_8_utm10_2019.laz",42551375,8.3
"092l051_4_2_2",2019,8,"utm10","bc_092l051_4_2_2_xyes_8_utm10_2019.laz",337652665,23.5
"092k031_4_1_4",2019,8,"utm10","bc_092k031_4_1_4_xyes_8_utm10_2019.laz",696745573,50.4
"092k031_4_3_2",2019,8,"utm10","bc_092k031_4_3_2_xyes_8_utm10_2019.laz",347790012,24.9
"092k031_4_3_1",2019,8,"utm10","bc_092k031_4_3_1_xyes_8_utm10_2019.laz",939270597,66.4
"092k031_4_1_3",2019,8,"utm10","bc_092k031_4_1_3_xyes_8_utm10_2019.laz",1082998354,79.3
"092l050_2_1_4",2019,8,"utm10","bc_092l050_2_1_4_xyes_8_utm10_2019.laz",273798800,32.8
"092l050_2_2_3",2019,8,"utm10","bc_092l050_2_2_3_xyes_8_utm10_2019.laz",726832067,52.8
"092l050_2_3_1",2019,8,"utm10","bc_092l050_2_3_1_xyes_8_utm10_2019.laz",703689903,56.1
"092l050_2_3_2",2019,8,"utm10","bc_092l050_2_3_2_xyes_8_utm10_2019.laz",1018020718,73.3
"092l050_2_3_4",2019,8,"utm10","bc_092l050_2_3_4_xyes_8_utm10_2019.laz",360880283,26.3
"092l050_2_3_3",2019,8,"utm10","bc_092l050_2_3_3_xyes_8_utm10_2019.laz",843328404,61
"092l048_3_1_4",2019,8,"utm10","bc_092l048_3_1_4_xyes_8_utm10_2019.laz",1777056243,122.3
"092l048_3_2_3",2019,8,"utm10","bc_092l048_3_2_3_xyes_8_utm10_2019.laz",1719244343,122.5
"092l048_3_3_2",2019,8,"utm10","bc_092l048_3_3_2_xyes_8_utm10_2019.laz",635035434,44.2
"092l036_1_3_4",2019,8,"utm10","bc_092l036_1_3_4_xyes_8_utm10_2019.laz",595156761,40.6
"092l052_3_4_1",2023,8,"utm9","bc_092l052_3_4_1_xyes_8_utm9_20231030_20231031.laz",979282401,61.6
"092l052_3_2_1",2023,8,"utm9","bc_092l052_3_2_1_xyes_8_utm9_20231027_20231030.laz",1079965120,68
"092l052_3_2_3",2023,8,"utm9","bc_092l052_3_2_3_xyes_8_utm9_20231027_20231031.laz",1211388748,75
"092l052_3_3_1",2023,8,"utm9","bc_092l052_3_3_1_xyes_8_utm9_20231027_20231031.laz",1190546036,74.6
"092c068_2_3_4",2023,8,"utm10","bc_092c068_2_3_4_xyes_8_utm10_20231001_20231029.laz",2051259426,121.4
"092c068_2_4_3",2023,8,"utm10","bc_092c068_2_4_3_xyes_8_utm10_20231001_20231029.laz",2394331536,135.1
"092l048_3_1_1",2019,8,"utm10","bc_092l048_3_1_1_xyes_8_utm10_2019.laz",1042529578,70.3
"092l048_3_1_3",2019,8,"utm10","bc_092l048_3_1_3_xyes_8_utm10_2019.laz",2042617245,140.1
"092l048_3_3_1",2019,8,"utm10","bc_092l048_3_3_1_xyes_8_utm10_2019.laz",925838383,65
"092l051_2_1_1",2023,8,"utm9","bc_092l051_2_1_1_xyes_8_utm9_20231028_20231028.laz",854956894,52.6
"092l051_2_1_3",2023,8,"utm9","bc_092l051_2_1_3_xyes_8_utm9_20231028_20231028.laz",837365293,51.3
"092l051_1_2_4",2023,8,"utm9","bc_092l051_1_2_4_xyes_8_utm9_20231028_20231028.laz",725661347,44.7
"092e050_4_3_2",2019,8,"utm10","bc_092e050_4_3_2_xyes_8_utm10_2019.laz",485013664,33.1
"092e050_4_4_1",2019,8,"utm10","bc_092e050_4_4_1_xyes_8_utm10_2019.laz",642959878,44
"092e050_3_4_2",2019,8,"utm10","bc_092e050_3_4_2_xyes_8_utm10_2019.laz",619229047,40.8
"092e050_3_4_4",2019,8,"utm10","bc_092e050_3_4_4_xyes_8_utm10_2019.laz",646097134,42.7
"092c076_4_3_1",2023,8,"utm10","bc_092c076_4_3_1_xyes_8_utm10_20231030_20231030.laz",1187292640,71.1
"092c096_1_1_3",2023,8,"utm10","bc_092c096_1_1_3_xyes_8_utm10_20231031_20231031.laz",1409337760,82.2
"092c096_1_1_4",2023,8,"utm10","bc_092c096_1_1_4_xyes_8_utm10_20231031_20231031.laz",1512667770,87.5
"092c067_4_1_1",2023,8,"utm10","bc_092c067_4_1_1_xyes_8_utm10_20231002_20231029.laz",3871792207,226.8
"092c087_1_3_3",2023,8,"utm10","bc_092c087_1_3_3_xyes_8_utm10_20231030_20231030.laz",1373498297,81.3
"092f015_1_3_3",2019,8,"utm10","bc_092f015_1_3_3_xyes_8_utm10_2019.laz",6973817,0.5
"092f015_3_1_1",2019,8,"utm10","bc_092f015_3_1_1_xyes_8_utm10_2019.laz",267401712,18.9
"092f015_3_1_2",2019,8,"utm10","bc_092f015_3_1_2_xyes_8_utm10_2019.laz",578289761,41.2
"092f015_3_1_4",2019,8,"utm10","bc_092f015_3_1_4_xyes_8_utm10_2019.laz",428838872,31.1
